,id,slug,octane_id,date,number,games,event_id,stage_id,format_type,format_length,blue_games,blue_winner,blue_team_id,blue_core_shots,blue_core_goals,blue_core_saves,blue_core_assists,blue_core_score,blue_core_shootingPercentage,orange_score,orange_team_id,orange_core_shots,orange_core_goals,orange_core_saves,orange_core_assists,orange_core_score,orange_core_shootingPercentage,blue_boost_bpm,blue_boost_bcpm,blue_boost_avgAmount,blue_boost_amountCollected,blue_boost_amountStolen,blue_boost_amountCollectedBig,blue_boost_amountStolenBig,blue_boost_amountCollectedSmall,blue_boost_amountStolenSmall,blue_boost_countCollectedBig,blue_boost_countStolenBig,blue_boost_countCollectedSmall,blue_boost_countStolenSmall,blue_boost_amountOverfill,blue_boost_amountOverfillStolen,blue_boost_amountUsedWhileSupersonic,blue_boost_timeZeroBoost,blue_boost_timeFullBoost,blue_boost_timeBoost0To25,blue_boost_timeBoost25To50,blue_boost_timeBoost50To75,blue_boost_timeBoost75To100,blue_movement_totalDistance,blue_movement_timeSupersonicSpeed,blue_movement_timeBoostSpeed,blue_movement_timeSlowSpeed,blue_movement_timeGround,blue_movement_timeLowAir,blue_movement_timeHighAir,blue_movement_timePowerslide,blue_movement_countPowerslide,blue_positioning_timeDefensiveThird,blue_positioning_timeNeutralThird,blue_positioning_timeOffensiveThird,blue_positioning_timeDefensiveHalf,blue_positioning_timeOffensiveHalf,blue_positioning_timeBehindBall,blue_positioning_timeInfrontBall,blue_demo_inflicted,blue_demo_taken,orange_winner,orange_boost_bpm,orange_boost_bcpm,orange_boost_avgAmount,orange_boost_amountCollected,orange_boost_amountStolen,orange_boost_amountCollectedBig,orange_boost_amountStolenBig,orange_boost_amountCollectedSmall,orange_boost_amountStolenSmall,orange_boost_countCollectedBig,orange_boost_countStolenBig,orange_boost_countCollectedSmall,orange_boost_countStolenSmall,orange_boost_amountOverfill,orange_boost_amountOverfillStolen,orange_boost_amountUsedWhileSupersonic,orange_boost_timeZeroBoost,orange_boost_timeFullBoost,orange_boost_timeBoost0To25,orange_boost_timeBoost25To50,orange_boost_timeBoost50To75,orange_boost_timeBoost75To100,orange_movement_totalDistance,orange_movement_timeSupersonicSpeed,orange_movement_timeBoostSpeed,orange_movement_timeSlowSpeed,orange_movement_timeGround,orange_movement_timeLowAir,orange_movement_timeHighAir,orange_movement_timePowerslide,orange_movement_countPowerslide,orange_positioning_timeDefensiveThird,orange_positioning_timeNeutralThird,orange_positioning_timeOffensiveThird,orange_positioning_timeDefensiveHalf,orange_positioning_timeOffensiveHalf,orange_positioning_timeBehindBall,orange_positioning_timeInfrontBall,orange_demo_inflicted,orange_demo_taken,reverseSweepAttempt,reverseSweep
64,6043145f91504896348eae86,ae86-dunk-driving-vs-under-16s,2760102,2019-07-21T00:00:00Z,2,,5f35882d53fbbb5894b430e5,3,best,5,3.0,,6020bd77f1e4807cc700ce6c,0,0,0,0,0,0.0,1.0,6020bd77f1e4807cc700ce82,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6043145f91504896348eae4f,ae4f-g2-esports-vs-gale-force,0050102,2017-07-14T00:00:00Z,2,"[{'_id': '6043146c91504896348eb6d1', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146c91504896348eb6d4', 'blue': 0, 'orange': 1, 'duration': 300}, {'_id': '6043146c91504896348eb6d7', 'blue': 0, 'orange': 3, 'duration': 300}]",5f35882d53fbbb5894b43051,0,best,5,,,6020bc70f1e4807cc70023a5,16,1,20,1,1835,6.25,3.0,6020bc70f1e4807cc700239f,28,6,11,5,2345,21.428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6043145f91504896348eae2d,ae2d-roar-vs-chiefs-esports,1120102,2018-06-03T01:00:00Z,2,"[{'_id': '6043146c91504896348eb6b7', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146c91504896348eb6d0', 'blue': 0, 'orange': 3, 'duration': 300}, {'_id': '6043146c91504896348eb6d3', 'blue': 2, 'orange': 1, 'duration': 382}, {'_id': '6043146c91504896348eb6d6', 'blue': 2, 'orange': 1, 'duration': 358}, {'_id': '6043146c91504896348eb6d9', 'blue': 1, 'orange': 2, 'duration': 300}]",5f35882d53fbbb5894b43084,0,best,5,2.0,,6020c068f1e4807cc701d2ed,29,6,21,5,3265,20.689655172413794,3.0,6020bc70f1e4807cc70023ce,37,9,15,6,3340,24.324324324324326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
67,6043145f91504896348eae5a,ae5a-cloud9-vs-genesis,0080102,2017-07-31T00:00:00Z,2,"[{'_id': '6043146c91504896348eb6d2', 'blue': 2, 'orange': 0, 'duration': 300}, {'_id': '6043146c91504896348eb6d5', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146c91504896348eb6d8', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146c91504896348eb6ec', 'blue': 0, 'orange': 5, 'duration': 300}, {'_id': '6043146c91504896348eb70d', 'blue': 1, 'orange': 2, 'duration': 300}]",5f35882d53fbbb5894b43054,0,best,7,1.0,,6020bc70f1e4807cc700239d,33,5,20,5,3535,15.151515151515152,4.0,6020bc70f1e4807cc70023a9,37,11,24,10,3990,29.72972972972973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6043145f91504896348eae5b,ae5b-ghost-gaming-vs-renegades,0170102,2017-11-18T00:00:00Z,2,"[{'_id': '6043146c91504896348eb6ed', 'blue': 3, 'orange': 2, 'duration': 300}, {'_id': '6043146c91504896348eb70e', 'blue': 2, 'orange': 1, 'duration': 300}, {'_id': '6043146d91504896348eb72e', 'blue': 2, 'orange': 1, 'duration': 300}]",5f35882d53fbbb5894b4306b,0,best,5,3.0,True,6020bc70f1e4807cc70023fd,24,7,8,7,2265,29.166666666666668,,6020bc70f1e4807cc70023fb,16,4,14,3,1825,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6043145f91504896348eae53,ae53-mock-it-esprots-vs-hollywood-hammers,0070202,2017-07-22T00:00:00Z,2,,5f35882d53fbbb5894b43053,1,best,5,3.0,,6020bc70f1e4807cc700243e,0,0,0,0,0,0.0,2.0,6020bc70f1e4807cc7002409,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6043145f91504896348eae49,ae49-myth-gaming-vs-incognito,0130103,2017-09-08T00:00:00Z,3,"[{'_id': '6043146c91504896348eb70c', 'blue': 2, 'orange': 1, 'duration': 300, 'ballchasing': 'ac0d64b9-0fc5-46da-90b7-ab6a48840b49'}, {'_id': '6043146d91504896348eb70f', 'blue': 4, 'orange': 1, 'duration': 300, 'ballchasing': '251eaa4f-1e54-4169-993b-4ca0c3897b38'}, {'_id': '6043146d91504896348eb72f', 'blue': 5, 'orange': 3, 'duration': 300, 'ballchasing': '3aebc035-b372-495a-85d8-22b5081333ef'}]",5f35882d53fbbb5894b4305c,0,best,5,3.0,True,6020bc70f1e4807cc700244d,27,11,22,11,2920,40.74074074074074,,6020bc70f1e4807cc7002441,27,5,9,3,1805,18.51851851851852,3695.0,3887.86063,411.79,21970.0,4806.0,15989.0,2891.0,5981.0,1915.0,182.0,35.0,520.0,165.0,2224.0,608.0,2080.0,520.4300000000001,285.27,1165.05,777.8900000000001,507.87,674.84,4363080.0,405.66999999999996,1187.52,1602.0,1700.48,1326.94,167.8,72.44999999999999,520.0,1447.93,976.6899999999999,770.6,1959.9399999999998,1234.9899999999998,2284.57,910.64,1.0,4.0,,3680.0,3769.4076,377.03999999999996,21295.0,4246.0,15114.0,2831.0,6181.0,1415.0,173.0,33.0,510.0,128.0,1812.0,405.0,3465.0,565.48,270.48,1380.11,724.2,445.66999999999996,573.5600000000001,4590960.0,460.36,1339.3,1403.3200000000002,1872.31,1192.92,137.75,71.12,648.0,1559.9499999999998,1023.8399999999999,619.1800000000001,2109.05,1093.48,2226.52,976.4699999999999,4.0,1.0,,
71,6043145f91504896348eae5e,ae5e-nrg-esports-vs-renegades,0040102,2017-09-09T00:00:00Z,2,"[{'_id': '6043146d91504896348eb742', 'blue': 3, 'orange': 1, 'duration': 300, 'ballchasing': 'c57f8485-32f6-460b-be4c-79b8f6bc6203'}, {'_id': '6043146d91504896348eb756', 'blue': 2, 'orange': 0, 'duration': 300, 'ballchasing': '08f1b397-d730-4eb5-87ce-383619eec182'}, {'_id': '6043146d91504896348eb758', 'blue': 2, 'orange': 1, 'duration': 300, 'ballchasing': '4e135d25-cabb-4fe3-b434-68c8c5858418'}]",5f35882d53fbbb5894b4305f,1,best,5,3.0,True,6020bc70f1e4807cc70023a0,23,7,20,4,2295,30.434782608695656,,6020bc70f1e4807cc70023fb,22,2,13,2,1690,9.090909090909092,3792.0,3852.1069199999997,443.59000000000003,20884.0,3655.0,14707.0,1983.0,6177.0,1672.0,178.0,26.0,535.0,144.0,3128.0,659.0,4178.0,322.07,353.90999999999997,999.23,633.76,625.19,714.22,4521023.0,468.96999999999997,1259.67,1295.13,1855.62,1029.3300000000002,138.82999999999998,73.49000000000001,530.0,1373.97,985.8700000000001,663.9499999999999,1900.14,1123.44,2254.73,769.04,5.0,2.0,,3869.0,3980.7564300000004,435.78999999999996,21594.0,3999.0,15145.0,2218.0,6449.0,1781.0,181.0,25.0,543.0,144.0,2944.0,298.0,3443.0,335.15,291.81,1109.49,701.37,504.24,650.54,4437573.0,424.18,1220.8500000000001,1369.0700000000002,1828.42,1056.1,129.61,66.93,484.0,1539.35,937.8899999999999,536.87,2031.24,982.52,2052.0600000000004,962.0500000000001,2.0,5.0,,
72,6043145f91504896348eae21,ae21-psg-esports-vs-nrg-esports,0140102,2017-10-21T00:00:00Z,2,"[{'_id': '6043146d91504896348eb743', 'blue': 0, 'orange': 3, 'duration': 300}, {'_id': '6043146d91504896348eb757', 'blue': 2, 'orange': 1, 'duration': 300}, {'_id': '6043146d91504896348eb759', 'blue': 4, 'orange': 0, 'duration': 300}, {'_id': '6043146d91504896348eb76c', 'blue': 2, 'orange': 3, 'duration': 300}, {'_id': '6043146d91504896348eb76d', 'blue': 2, 'orange': 1, 'duration': 328}]",5f35882d53fbbb5894b43068,0,best,5,3.0,True,6020bc70f1e4807cc700242a,37,10,26,9,3835,27.027027027027028,2.0,6020bc70f1e4807cc70023a0,35,8,23,5,3335,22.857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6043145f91504896348eae16,ae16-selfless-gaming-vs-settodestroyx,0030102,2017-03-18T00:00:00Z,2,"[{'_id': '6043146d91504896348eb78d', 'blue': 3, 'orange': 2, 'duration': 392, 'ballchasing': 'd6d51a5f-fcd5-438f-8a87-192a425f590b'}, {'_id': '6043146d91504896348eb78f', 'blue': 0, 'orange': 1, 'duration': 300, 'ballchasing': '7b07ba78-4fb9-4980-a4db-01acd9e65808'}, {'_id': '6043146d91504896348eb792', 'blue': 1, 'orange': 0, 'duration': 300, 'ballchasing': 'c92b47d6-d837-439b-9314-5a66b305580c'}, {'_id': '6043146d91504896348eb795', 'blue': 3, 'orange': 2, 'duration': 534, 'ballchasing': 'e22282aa-f9fd-4486-a1d7-2e24303ab2ca'}]",5f35882d53fbbb5894b43046,1,best,5,3.0,True,6020bc70f1e4807cc70023a8,34,7,12,6,3160,20.588235294117645,1.0,6020bc70f1e4807cc700240a,22,5,27,3,2860,22.727272727272727,5135.0,5246.38058,606.13,35167.0,8477.0,26447.0,5488.0,8720.0,2989.0,322.0,66.0,770.0,252.0,5568.0,1133.0,5525.0,579.4799999999999,563.51,1578.51,1114.25,864.76,1351.51,7428835.0,789.84,2063.8,2130.11,2881.3,1853.56,248.92,104.85,760.0,2067.56,1651.71,1264.51,2904.75,2078.38,3587.2799999999997,1396.47,8.0,4.0,,4432.0,4497.65798,578.16,30766.0,4675.0,21147.0,2832.0,9619.0,1843.0,248.0,34.0,791.0,158.0,3486.0,570.0,3959.0,621.27,438.61,1680.27,1197.84,886.72,1122.33,6773840.0,487.78,1837.1100000000001,2646.2799999999997,3014.2999999999997,1746.32,210.54000000000002,149.60000000000002,1224.0,3031.48,1298.31,641.36,3763.83,1206.97,3664.14,1307.03,4.0,8.0,,
